20	20
1	1	37
3	3	83
5	4	54
3	5	78
4	5	22
3	4	94
4	4	71
2	3	60
5	3	40
4	2	31
4	1	42
4	5	71
4	1	27
4	5	16
5	2	57
3	5	16
2	2	90
4	4	92
3	1	94
5	3	63
3	4	68
3	4	71
3	2	73
3	5	62
5	2	46
2	3	90
5	5	31
4	5	99
4	4	44
1	5	70
3	2	14
4	3	94
5	4	38
2	5	97
1	5	57
1	2	18
1	4	73
3	3	40
3	4	78
3	5	15
5	4	72
2	3	16
3	1	50
4	1	57
2	1	79
1	2	47
1	5	84
5	5	34
1	1	80
1	1	49
5	4	60
1	2	45
5	4	23
5	2	27
3	4	63
4	5	14
1	1	22
4	5	29
2	4	88
3	5	81
4	2	97
5	4	56
5	2	97
5	2	52
1	5	55
5	5	23
2	5	19
1	5	91
2	4	31
1	1	13
4	5	83
5	5	47
5	4	52
5	4	71
4	3	90
1	2	27
4	3	96
2	4	77
5	3	31
5	3	60
3	3	88
1	4	57
1	2	12
3	1	72
5	5	69
5	3	64
4	1	52
5	3	32
1	3	90
3	1	20
