60	100
11	8	100
9	21	78
4	22	12
9	16	15
15	13	38
3	12	37
9	12	23
8	21	89
14	9	94
3	10	19
2	10	26
7	21	28
5	2	55
4	25	31
14	14	32
5	21	78
9	6	30
3	16	80
8	5	90
6	5	57
2	19	45
10	1	82
5	10	88
4	17	14
7	25	98
15	8	73
2	22	59
10	21	85
7	3	30
2	2	100
14	4	74
13	25	92
9	25	62
13	15	28
9	23	16
3	14	97
1	7	93
10	10	94
11	25	65
3	4	96
13	4	86
6	13	54
11	7	76
1	21	18
2	13	94
5	1	20
15	14	84
11	11	18
4	6	53
7	23	31
12	17	95
9	10	56
2	22	18
13	20	31
11	8	77
6	12	97
10	3	98
14	5	70
7	19	91
15	1	18
12	10	35
13	20	38
15	10	26
8	3	18
7	6	100
12	1	76
2	2	95
7	18	88
6	20	54
6	24	59
3	23	57
14	6	12
5	13	72
12	23	53
4	2	10
15	13	82
9	8	35
15	5	64
15	23	24
12	7	73
