Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
50,70,10,Dinamico,0.0358295,0,620,0,[0.03582954406738281],[620]
50,70,10,Backtracking,0.0032847,0,620,0,[0.0032846927642822266],[620]
50,70,10,Branch_and_Bound,0.0000861,0,620,0,[8.606910705566406e-05],[620]
50,70,12,Dinamico,0.0413902,0,597,0,[0.041390180587768555],[597]
50,70,12,Backtracking,0.0154569,0,597,0,[0.015456914901733398],[597]
50,70,12,Branch_and_Bound,0.0001628,0,597,0,[0.0001628398895263672],[597]
50,70,14,Dinamico,0.0522401,0,588,0,[0.05224013328552246],[588]
50,70,14,Backtracking,0.0712378,0,588,0,[0.07123780250549316],[588]
50,70,14,Branch_and_Bound,0.0002966,0,588,0,[0.00029659271240234375],[588]
50,70,16,Dinamico,0.0674562,0,766,0,[0.06745624542236328],[766]
50,70,16,Backtracking,0.2175395,0,766,0,[0.21753954887390137],[766]
50,70,16,Branch_and_Bound,0.0002501,0,762,0,[0.00025010108947753906],[762]
50,70,18,Dinamico,0.0704181,0,791,0,[0.07041811943054199],[791]
50,70,18,Backtracking,0.7034261,0,791,0,[0.7034261226654053],[791]
50,70,18,Branch_and_Bound,0.0003366,0,781,0,[0.00033664703369140625],[781]
50,70,20,Dinamico,0.0667641,0,711,0,[0.06676411628723145],[711]
50,70,20,Backtracking,1.4442534,0,711,0,[1.4442534446716309],[711]
50,70,20,Branch_and_Bound,0.0002930,0,708,0,[0.0002930164337158203],[708]
50,70,22,Dinamico,0.0722947,0,737,0,[0.07229471206665039],[737]
50,70,22,Backtracking,2.8377194,0,737,0,[2.837719440460205],[737]
50,70,22,Branch_and_Bound,0.0003209,0,737,0,[0.0003209114074707031],[737]
50,70,24,Dinamico,0.0713377,0,766,0,[0.07133769989013672],[766]
50,70,24,Backtracking,4.8600733,0,766,0,[4.8600733280181885],[766]
50,70,24,Branch_and_Bound,0.0003026,0,584,0,[0.0003025531768798828],[584]
50,70,26,Dinamico,0.0795124,0,785,0,[0.07951235771179199],[785]
50,70,26,Backtracking,17.1465366,0,785,0,[17.146536588668823],[785]
50,70,26,Branch_and_Bound,0.0003302,0,643,0,[0.00033020973205566406],[643]
50,70,30,Dinamico,0.0822010,0,1009,0,[0.08220100402832031],[1009]
50,70,30,Branch_and_Bound,0.0003066,0,955,0,[0.0003066062927246094],[955]
