Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
50,70,10,Dinamico,0.0369689,0.0045886,472,0.0,"[0.03315877914428711, 0.03258252143859863, 0.0377349853515625, 0.042890071868896484, 0.04172706604003906, 0.0343780517578125, 0.0358126163482666, 0.04220390319824219, 0.03963947296142578, 0.029561758041381836]","[472, 472, 472, 472, 472, 472, 472, 472, 472, 472]"
50,70,10,Backtracking,0.0041655,0.0008760,472,0.0,"[0.004907131195068359, 0.004919290542602539, 0.004690408706665039, 0.004830360412597656, 0.0047490596771240234, 0.004714488983154297, 0.003880023956298828, 0.002711057662963867, 0.002935647964477539, 0.003317117691040039]","[472, 472, 472, 472, 472, 472, 472, 472, 472, 472]"
50,70,10,Branch_and_Bound,0.0000594,0.0000205,472,0.0,"[9.298324584960938e-05, 9.560585021972656e-05, 4.744529724121094e-05, 4.696846008300781e-05, 4.553794860839844e-05, 7.534027099609375e-05, 5.340576171875e-05, 4.6253204345703125e-05, 4.5299530029296875e-05, 4.506111145019531e-05]","[472, 472, 472, 472, 472, 472, 472, 472, 472, 472]"
50,70,20,Dinamico,0.0674963,0.0037187,651,0.0,"[0.0777444839477539, 0.06541824340820312, 0.06598830223083496, 0.066131591796875, 0.06539297103881836, 0.06726694107055664, 0.06704425811767578, 0.06499743461608887, 0.06765341758728027, 0.06732583045959473]","[651, 651, 651, 651, 651, 651, 651, 651, 651, 651]"
50,70,20,Backtracking,0.9804257,0.0781004,651,0.0,"[0.8780603408813477, 0.9555315971374512, 1.0048115253448486, 1.1733341217041016, 1.0108771324157715, 0.9262094497680664, 0.9564924240112305, 0.9576888084411621, 0.9911408424377441, 0.9501104354858398]","[651, 651, 651, 651, 651, 651, 651, 651, 651, 651]"
50,70,20,Branch_and_Bound,0.0967574,0.0047303,651,0.0,"[0.09701967239379883, 0.10818791389465332, 0.09562540054321289, 0.09264039993286133, 0.09097123146057129, 0.09972858428955078, 0.09504127502441406, 0.09811115264892578, 0.09518599510192871, 0.0950627326965332]","[651, 651, 651, 651, 651, 651, 651, 651, 651, 651]"
50,70,30,Dinamico,0.0946156,0.0039630,1131,0.0,"[0.10319638252258301, 0.09575104713439941, 0.09240245819091797, 0.08797550201416016, 0.09521079063415527, 0.09677314758300781, 0.09427022933959961, 0.09382462501525879, 0.09130072593688965, 0.09545111656188965]","[1131, 1131, 1131, 1131, 1131, 1131, 1131, 1131, 1131, 1131]"
50,70,30,Branch_and_Bound,4.6793414,0.3175710,1131,0.0,"[4.565723896026611, 5.160475015640259, 4.727807998657227, 4.942830562591553, 4.322814226150513, 4.348667144775391, 4.479141473770142, 4.315704107284546, 4.866701602935791, 5.0635480880737305]","[1131, 1131, 1131, 1131, 1131, 1131, 1131, 1131, 1131, 1131]"
50,70,40,Dinamico,0.1114064,0.0041611,1101,0.0,"[0.11459207534790039, 0.11511611938476562, 0.11883878707885742, 0.10508108139038086, 0.10982489585876465, 0.10718750953674316, 0.11097979545593262, 0.11382150650024414, 0.1101996898651123, 0.10842275619506836]","[1101, 1101, 1101, 1101, 1101, 1101, 1101, 1101, 1101, 1101]"
50,70,50,Dinamico,0.1438180,0.0051002,1275,0.0,"[0.1477518081665039, 0.14787697792053223, 0.14467859268188477, 0.14048171043395996, 0.14201760292053223, 0.14521288871765137, 0.13923954963684082, 0.15403246879577637, 0.13945436477661133, 0.13743376731872559]","[1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275, 1275]"
50,70,60,Dinamico,0.1595837,0.0034352,1134,0.0,"[0.1584932804107666, 0.15306544303894043, 0.15882515907287598, 0.16266250610351562, 0.15907979011535645, 0.15998005867004395, 0.1657238006591797, 0.15986967086791992, 0.1564469337463379, 0.16169047355651855]","[1134, 1134, 1134, 1134, 1134, 1134, 1134, 1134, 1134, 1134]"
50,70,70,Dinamico,0.1805692,0.0025177,1228,0.0,"[0.18470287322998047, 0.1784682273864746, 0.18011140823364258, 0.1791527271270752, 0.17627620697021484, 0.17984247207641602, 0.18315672874450684, 0.17969679832458496, 0.1831340789794922, 0.1811509132385254]","[1228, 1228, 1228, 1228, 1228, 1228, 1228, 1228, 1228, 1228]"
50,70,80,Dinamico,0.2033792,0.0120351,1259,0.0,"[0.21265149116516113, 0.20223569869995117, 0.1939220428466797, 0.20317840576171875, 0.20323419570922852, 0.19800043106079102, 0.1951465606689453, 0.19346165657043457, 0.2335042953491211, 0.1984572410583496]","[1259, 1259, 1259, 1259, 1259, 1259, 1259, 1259, 1259, 1259]"
