Capacidade_W,Capacidade_V,N_Itens,Algoritmo,Tempo_Medio,Tempo_Std,Valor_Medio,Valor_Std,Tempos_10_Execucoes,Valores_10_Execucoes
80,80,10,Dinamico,0.0202503,0.0020978,633,0.0,"[0.025631189346313477, 0.01977252960205078, 0.019805192947387695, 0.019206523895263672, 0.017884254455566406, 0.01852726936340332, 0.020663976669311523, 0.020837068557739258, 0.020088672637939453, 0.02008676528930664]","[633, 633, 633, 633, 633, 633, 633, 633, 633, 633]"
80,80,10,Backtracking,0.0011309,0.0000147,633,0.0,"[0.001130819320678711, 0.0011169910430908203, 0.0011188983917236328, 0.0011284351348876953, 0.0011496543884277344, 0.0011527538299560547, 0.0011508464813232422, 0.0011153221130371094, 0.0011217594146728516, 0.001123666763305664]","[633, 633, 633, 633, 633, 633, 633, 633, 633, 633]"
80,80,10,Branch_and_Bound,0.0000339,0.0000050,633,0.0,"[4.792213439941406e-05, 3.457069396972656e-05, 3.314018249511719e-05, 3.266334533691406e-05, 3.218650817871094e-05, 3.1948089599609375e-05, 3.170967102050781e-05, 3.1948089599609375e-05, 3.147125244140625e-05, 3.170967102050781e-05]","[633, 633, 633, 633, 633, 633, 633, 633, 633, 633]"
80,80,100,Dinamico,0.1826749,0.0039096,1115,0.0,"[0.18654656410217285, 0.1744999885559082, 0.18612194061279297, 0.17925047874450684, 0.17937636375427246, 0.18380022048950195, 0.1819629669189453, 0.18428564071655273, 0.18630647659301758, 0.18459820747375488]","[1115, 1115, 1115, 1115, 1115, 1115, 1115, 1115, 1115, 1115]"
80,80,100,Branch_and_Bound,0.0002757,0.0000093,1103,0.0,"[0.0003008842468261719, 0.00027632713317871094, 0.0002751350402832031, 0.00027108192443847656, 0.00027060508728027344, 0.00027060508728027344, 0.00027871131896972656, 0.00027060508728027344, 0.0002696514129638672, 0.00027370452880859375]","[1103, 1103, 1103, 1103, 1103, 1103, 1103, 1103, 1103, 1103]"
80,80,20,Dinamico,0.0365490,0.0010654,751,0.0,"[0.03925037384033203, 0.03561520576477051, 0.03602409362792969, 0.03587913513183594, 0.036093950271606445, 0.03606581687927246, 0.03609323501586914, 0.03728222846984863, 0.0368502140045166, 0.03633594512939453]","[751, 751, 751, 751, 751, 751, 751, 751, 751, 751]"
80,80,20,Backtracking,0.2196793,0.0009435,751,0.0,"[0.22053813934326172, 0.22092795372009277, 0.2212836742401123, 0.21922087669372559, 0.2200000286102295, 0.21924042701721191, 0.21925878524780273, 0.21874380111694336, 0.2188115119934082, 0.21876764297485352]","[751, 751, 751, 751, 751, 751, 751, 751, 751, 751]"
80,80,20,Branch_and_Bound,0.0000650,0.0000072,751,0.0,"[8.440017700195312e-05, 6.389617919921875e-05, 6.604194641113281e-05, 6.175041198730469e-05, 6.67572021484375e-05, 6.079673767089844e-05, 6.103515625e-05, 6.437301635742188e-05, 6.0558319091796875e-05, 6.0558319091796875e-05]","[751, 751, 751, 751, 751, 751, 751, 751, 751, 751]"
80,80,30,Dinamico,0.0563193,0.0104102,694,0.0,"[0.08580541610717773, 0.05566287040710449, 0.053226470947265625, 0.05256247520446777, 0.05218696594238281, 0.05355978012084961, 0.05294346809387207, 0.052458763122558594, 0.052359580993652344, 0.05242729187011719]","[694, 694, 694, 694, 694, 694, 694, 694, 694, 694]"
80,80,30,Backtracking,2.8360133,0.0239695,694,0.0,"[2.808814287185669, 2.8387014865875244, 2.829557418823242, 2.8742191791534424, 2.825349807739258, 2.81162166595459, 2.80751371383667, 2.856926202774048, 2.8407230377197266, 2.866706132888794]","[694, 694, 694, 694, 694, 694, 694, 694, 694, 694]"
80,80,30,Branch_and_Bound,0.0000587,0.0000091,594,0.0,"[8.440017700195312e-05, 5.793571472167969e-05, 5.698204040527344e-05, 5.555152893066406e-05, 5.555152893066406e-05, 5.5789947509765625e-05, 5.555152893066406e-05, 5.555152893066406e-05, 5.507469177246094e-05, 5.4836273193359375e-05]","[594, 594, 594, 594, 594, 594, 594, 594, 594, 594]"
80,80,40,Dinamico,0.0734495,0.0015569,799,0.0,"[0.07774758338928223, 0.07275605201721191, 0.0734090805053711, 0.07366538047790527, 0.07281875610351562, 0.07230854034423828, 0.07316184043884277, 0.07271146774291992, 0.0729222297668457, 0.07299375534057617]","[799, 799, 799, 799, 799, 799, 799, 799, 799, 799]"
80,80,40,Branch_and_Bound,0.0000944,0.0000082,764,0.0,"[0.00011754035949707031, 9.489059448242188e-05, 9.250640869140625e-05, 9.1552734375e-05, 9.226799011230469e-05, 9.202957153320312e-05, 9.107589721679688e-05, 9.107589721679688e-05, 9.083747863769531e-05, 9.059906005859375e-05]","[764, 764, 764, 764, 764, 764, 764, 764, 764, 764]"
80,80,50,Dinamico,0.0914379,0.0015606,939,0.0,"[0.09467649459838867, 0.09054994583129883, 0.09085702896118164, 0.0909264087677002, 0.09000229835510254, 0.09070825576782227, 0.09309148788452148, 0.09037423133850098, 0.09026670455932617, 0.0929257869720459]","[939, 939, 939, 939, 939, 939, 939, 939, 939, 939]"
80,80,50,Branch_and_Bound,0.0001591,0.0000089,939,0.0,"[0.00018310546875, 0.0001633167266845703, 0.00015735626220703125, 0.0001552104949951172, 0.00015926361083984375, 0.00015497207641601562, 0.00015497207641601562, 0.00015425682067871094, 0.00015425682067871094, 0.0001544952392578125]","[939, 939, 939, 939, 939, 939, 939, 939, 939, 939]"
80,80,60,Dinamico,0.1090660,0.0025308,1018,0.0,"[0.11618161201477051, 0.10785531997680664, 0.1085503101348877, 0.1079106330871582, 0.1088409423828125, 0.10786581039428711, 0.10802912712097168, 0.10814213752746582, 0.1089324951171875, 0.1083519458770752]","[1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018, 1018]"
80,80,60,Branch_and_Bound,0.0002674,0.0000087,981,0.0,"[0.00029087066650390625, 0.00027179718017578125, 0.0002639293670654297, 0.0002644062042236328, 0.000263214111328125, 0.0002665519714355469, 0.0002636909484863281, 0.00026226043701171875, 0.0002620220184326172, 0.00026535987854003906]","[981, 981, 981, 981, 981, 981, 981, 981, 981, 981]"
80,80,70,Dinamico,0.1236638,0.0015027,851,0.0,"[0.12644362449645996, 0.12444019317626953, 0.12300372123718262, 0.12180328369140625, 0.12324285507202148, 0.1238701343536377, 0.12246847152709961, 0.12584853172302246, 0.12262678146362305, 0.12289047241210938]","[851, 851, 851, 851, 851, 851, 851, 851, 851, 851]"
